word	chosen_tier	also_fits	alternative_split
𐤀𐤋𐤉𐤊	exact	plene	𐤅𐤀𐤋𐤉𐤊
𐤌𐤓𐤉𐤌	exact	proclitic	𐤌 + 𐤓𐤉𐤌
𐤌𐤓𐤅𐤇	exact	proclitic	𐤌 + 𐤓𐤅𐤇
𐤄𐤒𐤃𐤔	exact	proclitic	𐤄 + 𐤒𐤃𐤔
𐤅𐤄𐤉𐤀	exact	proclitic	𐤅 + 𐤄𐤉𐤀
𐤉𐤋𐤃𐤕	exact	plene	𐤅𐤉𐤋𐤃𐤕
𐤅𐤒𐤓𐤀𐤕	exact	proclitic	𐤅 + 𐤒𐤓𐤀𐤕
𐤀𐤕𐤔𐤌𐤅	adjacent	particle	𐤀𐤕 + 𐤔𐤌𐤅
𐤀𐤕𐤏𐤌𐤅	adjacent	particle	𐤀𐤕 + 𐤏𐤌𐤅
𐤌𐤏𐤅𐤍𐤅𐤕𐤉𐤄𐤌	exact	plene	𐤅𐤌𐤏𐤅𐤍𐤕𐤉𐤄𐤌
𐤅𐤕𐤄𐤉	exact	proclitic	𐤅 + 𐤕𐤄𐤉
𐤊𐤋𐤆𐤀𐤕	adjacent	proclitic	𐤊 + 𐤋𐤆𐤀𐤕
𐤋𐤌𐤋𐤀𐤕	exact	proclitic	𐤋 + 𐤌𐤋𐤀𐤕
𐤁𐤉𐤃	exact	proclitic	𐤁 + 𐤉𐤃
𐤄𐤍𐤁𐤉𐤀	exact	proclitic	𐤄 + 𐤍𐤁𐤉𐤀
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤄𐤍𐤄	exact	proclitic	𐤄 + 𐤍𐤄
𐤅𐤉𐤋𐤃𐤕	exact	proclitic	𐤅 + 𐤉𐤋𐤃𐤕
𐤅𐤒𐤓𐤀𐤅	exact	plene	𐤅𐤉𐤒𐤓𐤀
𐤄𐤀𐤋	exact	proclitic	𐤄 + 𐤀𐤋
𐤏𐤌𐤍𐤅	exact	plene	𐤏𐤌𐤅𐤍
𐤌𐤔𐤍𐤕𐤅	exact	proclitic	𐤌 + 𐤔𐤍𐤕𐤅
𐤅𐤉𐤏𐤔	exact	proclitic	𐤅 + 𐤉𐤏𐤔
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤌𐤋𐤀𐤊	exact	proclitic	𐤌 + 𐤋 + 𐤀𐤊
𐤅𐤉𐤒𐤇	exact	proclitic	𐤅 + 𐤉𐤒𐤇
𐤀𐤕𐤀𐤔𐤕𐤅	adjacent	particle	𐤀𐤕 + 𐤀𐤔𐤕𐤅
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤅𐤉𐤒𐤓𐤀	exact	proclitic	𐤅 + 𐤉𐤒𐤓𐤀
𐤀𐤕𐤔𐤌𐤅	adjacent	particle	𐤀𐤕 + 𐤔𐤌𐤅
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤁𐤉𐤌𐤉	exact	proclitic	𐤁 + 𐤉𐤌𐤉
𐤄𐤌𐤋𐤊	exact	proclitic	𐤄 + 𐤌𐤋𐤊
𐤅𐤉𐤁𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤁𐤀𐤅
𐤌𐤀𐤓𐤑	exact	proclitic	𐤌 + 𐤀𐤓𐤑
𐤌𐤆𐤓𐤇	exact	proclitic	𐤌 + 𐤆𐤓𐤇
𐤉𐤓𐤅𐤔𐤋𐤉𐤌𐤄	exact	plene	𐤉𐤓𐤅𐤔𐤋𐤌𐤄
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤌𐤋𐤊	exact	proclitic	𐤌 + 𐤋𐤊
𐤄𐤉𐤄𐤅𐤃𐤉𐤌	exact	proclitic	𐤄 + 𐤉𐤄𐤅𐤃𐤉𐤌
𐤄𐤍𐤅𐤋𐤃	exact	proclitic	𐤄 + 𐤍𐤅𐤋𐤃
𐤅𐤍𐤁𐤀	exact	plene	𐤍𐤁𐤉𐤀
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤔𐤌𐤏	exact	plene	𐤅𐤊𐤔𐤌𐤏𐤅
𐤄𐤌𐤋𐤊	exact	proclitic	𐤄 + 𐤌𐤋𐤊
𐤀𐤕𐤃𐤁𐤓𐤉𐤄𐤌	adjacent	particle	𐤀𐤕 + 𐤃𐤁𐤓𐤉𐤄𐤌
𐤅𐤉𐤒𐤄𐤋	exact	plene	𐤅𐤒𐤄𐤋
𐤄𐤊𐤄𐤍𐤉𐤌	exact	proclitic	𐤄 + 𐤊𐤄𐤍𐤉𐤌
𐤄𐤏𐤌	exact	proclitic	𐤄 + 𐤏𐤌
𐤅𐤉𐤃𐤓𐤔	exact	plene	𐤃𐤓𐤔
𐤌𐤀𐤕𐤌	exact	plene	𐤅𐤌𐤀𐤕𐤉𐤌
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤀𐤉𐤐𐤄	exact	plene	𐤀𐤐𐤄
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤅𐤉𐤀𐤌𐤓𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤊𐤕𐤅𐤁	exact	plene	𐤊𐤕𐤁
𐤁𐤉𐤃	exact	proclitic	𐤁 + 𐤉𐤃
𐤄𐤍𐤁𐤉𐤀	exact	proclitic	𐤄 + 𐤍𐤁𐤉𐤀
𐤅𐤀𐤕𐤄	exact	plene	𐤀𐤕𐤄
𐤀𐤉𐤍𐤊	exact	plene	𐤀𐤍𐤊𐤉
𐤑𐤏𐤉𐤓	exact	plene	𐤑𐤏𐤓
𐤁𐤀𐤋𐤐𐤉	exact	plene	𐤁𐤀𐤋𐤐𐤅
𐤌𐤌𐤊	exact	proclitic	𐤌 + 𐤌𐤊
𐤌𐤅𐤔𐤋	exact	plene	𐤉𐤌𐤔𐤋
𐤉𐤓𐤏𐤄	exact	plene	𐤓𐤏𐤄
𐤀𐤕𐤏𐤌𐤉	adjacent	particle	𐤀𐤕 + 𐤏𐤌𐤉
𐤒𐤓𐤀	exact	plene	𐤅𐤉𐤒𐤓𐤀
𐤁𐤎𐤕𐤓	exact	proclitic	𐤁 + 𐤎𐤕𐤓
𐤅𐤉𐤇𐤒𐤓	plene	proclitic	𐤅 + 𐤉𐤇𐤒𐤓
𐤋𐤃𐤏𐤕	exact	proclitic	𐤋 + 𐤃𐤏𐤕
𐤄𐤓𐤀𐤅𐤕	exact	plene	𐤄𐤓𐤀𐤉𐤕
𐤅𐤉𐤔𐤋𐤇𐤌	exact	proclitic	𐤅 + 𐤉𐤔𐤋𐤇𐤌
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤇𐤒𐤓𐤅	exact	plene	𐤇𐤒𐤓𐤉
