SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤉𐤓𐤀𐤍𐤉      H5971     𐤏𐤌            H3372     𐤉𐤓𐤀          verb
  𐤉𐤓𐤀𐤕        H3374     𐤉𐤓𐤀𐤄        H3372     𐤉𐤓𐤀          subs
  𐤉𐤓𐤀𐤕𐤅      H3374     𐤉𐤓𐤀𐤄        H3372     𐤉𐤓𐤀          subs
  𐤉𐤓𐤅𐤑𐤅𐤍    H3068     𐤉𐤄𐤅𐤄        H7323     𐤓𐤅𐤑          verb
  𐤉𐤓𐤑𐤅        H7521     𐤓𐤑𐤄          H7323     𐤓𐤅𐤑          verb
  𐤉𐤔𐤂𐤁        H5307     𐤍𐤐𐤋          H7682     𐤔𐤂𐤁          verb
  𐤉𐤔𐤅𐤏𐤕𐤊    H3444     𐤉𐤔𐤅𐤏𐤄      H3588     𐤊𐤉            subs
  𐤉𐤔𐤈𐤍𐤅𐤍𐤉  H7368     𐤓𐤇𐤒          H7853     𐤔𐤈𐤍          verb
  𐤉𐤔𐤌𐤍        H3452     𐤉𐤔𐤉𐤌𐤅𐤍    H8080     𐤔𐤌𐤍          subs
  𐤉𐤔𐤒𐤍𐤉      H8248     𐤔𐤒𐤄          H5401     𐤍𐤔𐤒          verb
  𐤉𐤕𐤇𐤈𐤀𐤅    H3808     𐤇𐤈𐤀          H2398     𐤇𐤈𐤀          verb
  𐤉𐤕𐤋𐤊𐤃𐤅    H1571     𐤋𐤊𐤃          H3920     𐤋𐤊𐤃          verb
  𐤉𐤕𐤐𐤓𐤃𐤅    H2904     𐤈𐤅𐤋          H6504     𐤐𐤓𐤃          verb
  𐤊𐤁𐤃𐤊        H3519     𐤊𐤁𐤅𐤃        H3513     𐤊𐤁𐤃          subs
